ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
North Carolina,CY 2016,"3,719",Afghanistan,142,Greensboro,11,"96,874"
North Carolina,CY 2011,"1,899",Afghanistan,15,Raleigh,11,"51,458"
North Carolina,CY 2012,"2,376",Bhutan,669,Durham,11,"66,292"
North Carolina,CY 2016,"3,719",Central African Republic,21,Greensboro,11,"96,874"
North Carolina,CY 2016,"3,719",Colombia,41,Durham,11,"96,874"
North Carolina,CY 2012,"2,376",Cuba,98,High Point,11,"66,292"
North Carolina,CY 2016,"3,719",El Salvador,39,Charlotte,11,"96,874"
North Carolina,CY 2013,"2,228",Eritrea,94,Raleigh,11,"66,066"
North Carolina,CY 2015,"2,369",Eritrea,66,Raleigh,11,"66,517"
North Carolina,CY 2013,"2,228",Ethiopia,23,Greensboro,11,"66,066"
North Carolina,CY 2016,"3,719",Pakistan,55,Durham,11,"96,874"
North Carolina,CY 2010,"2,360",Somalia,104,Charlotte,11,"71,362"
North Carolina,CY 2014,"2,481",Sudan,44,High Point,11,"72,820"
North Carolina,CY 2016,"3,719",Sudan,48,High Point,11,"96,874"
