ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
Alabama,CY 2015,97,Burma,14,Mobile,13,"66,517"
Alaska,CY 2010,107,Iraq,13,Anchorage,13,"71,362"
Arizona,CY 2013,"2,756",Afghanistan,53,Tucson,13,"66,066"
Arizona,CY 2011,"1,961",Burundi,15,Phoenix,13,"51,458"
Arizona,CY 2013,"2,756",Central African Republic,40,Tucson,13,"66,066"
Arizona,CY 2013,"2,756",Ethiopia,23,Phoenix,13,"66,066"
Arizona,CY 2014,"3,178",Ethiopia,30,Tucson,13,"72,820"
Arizona,CY 2010,"3,156",Rwanda,22,Phoenix,13,"71,362"
Arizona,CY 2010,"3,156",Uzbekistan,13,Phoenix,13,"71,362"
California,CY 2013,"5,904",Burma,326,El Cajon,13,"66,066"
California,CY 2016,"8,921",Dem. Rep. Congo,713,La Mesa,13,"96,874"
California,CY 2016,"8,921",Dem. Rep. Congo,713,Oakland,13,"96,874"
California,CY 2013,"5,904",Eritrea,46,Oakland,13,"66,066"
California,CY 2016,"8,921",Eritrea,64,Oakland,13,"96,874"
California,CY 2011,"4,165",Iran,"1,091",Encino,13,"51,458"
California,CY 2014,"6,239",Iran,"1,688",Irvine,13,"72,820"
California,CY 2016,"8,921",Iran,"2,275",Mission Viejo,13,"96,874"
California,CY 2013,"5,904",Iran,"1,420",Tarzana,13,"66,066"
California,CY 2014,"6,239",Iran,"1,688",Tarzana,13,"72,820"
California,CY 2012,"6,230",Iraq,"3,774",Barstow,13,"66,292"
California,CY 2013,"5,904",Iraq,"3,300",Garden Grove,13,"66,066"
California,CY 2010,"8,036",Iraq,"4,130",Irvine,13,"71,362"
California,CY 2011,"4,165",Iraq,"1,619",Irvine,13,"51,458"
California,CY 2013,"5,904",Iraq,"3,300",Rancho Cucamonga,13,"66,066"
California,CY 2010,"8,036",Iraq,"4,130",Tustin,13,"71,362"
California,CY 2012,"6,230",Kenya,13,Anaheim,13,"66,292"
California,CY 2014,"6,239",Pakistan,21,San Diego,13,"72,820"
California,CY 2015,"5,611",Somalia,275,San Jose,13,"66,517"
California,CY 2016,"8,921",Somalia,300,San Jose,13,"96,874"
California,CY 2016,"8,921",Syria,"1,748",Walnut,13,"96,874"
California,CY 2015,"5,611",Ukraine,386,Modesto,13,"66,517"
California,CY 2015,"5,611",Ukraine,386,Rocklin,13,"66,517"
California,CY 2010,"8,036",Vietnam,53,San Jose,13,"71,362"
Colorado,CY 2013,"1,667",Afghanistan,18,Denver,13,"66,066"
Colorado,CY 2015,"1,625",Burundi,24,Colorado Springs,13,"66,517"
Colorado,CY 2014,"1,926",Central African Republic,19,Denver,13,"72,820"
Colorado,CY 2012,"1,612",Eritrea,79,Aurora,13,"66,292"
Colorado,CY 2013,"1,667",Eritrea,78,Aurora,13,"66,066"
Connecticut,CY 2013,547,Afghanistan,13,New Haven,13,"66,066"
Connecticut,CY 2011,375,Eritrea,40,Derby,13,"51,458"
Connecticut,CY 2015,510,Sudan,22,Hartford,13,"66,517"
Connecticut,CY 2014,534,Sudan,15,New Haven,13,"72,820"
Connecticut,CY 2015,510,Syria,61,Hartford,13,"66,517"
Florida,CY 2015,"2,309",Afghanistan,19,Jacksonville,13,"66,517"
Florida,CY 2016,"3,270",Burma,257,Clearwater,13,"96,874"
Florida,CY 2014,"3,465",Central African Republic,13,Jacksonville,13,"72,820"
Florida,CY 2014,"3,465",Colombia,90,Miami,13,"72,820"
Florida,CY 2016,"3,270",Cuba,243,Clearwater,13,"96,874"
Florida,CY 2015,"2,309",Cuba,611,Delray Beach,13,"66,517"
Florida,CY 2012,"2,900",Cuba,"1,599",Greenacres,13,"66,292"
Florida,CY 2016,"3,270",Cuba,243,Hialeah,13,"96,874"
Florida,CY 2010,"4,384",Cuba,"2,898",Hollywood,13,"71,362"
Florida,CY 2013,"3,333",Cuba,"2,282",Hollywood,13,"66,066"
Florida,CY 2010,"4,384",Cuba,"2,898",Lehigh Acres,13,"71,362"
Florida,CY 2012,"2,900",Cuba,"1,599",Miami Gardens,13,"66,292"
Florida,CY 2013,"3,333",Cuba,"2,282",Miami Lakes,13,"66,066"
Florida,CY 2010,"4,384",Cuba,"2,898",Miramar,13,"71,362"
Florida,CY 2010,"4,384",Cuba,"2,898",Port Richey,13,"71,362"
Florida,CY 2014,"3,465",Cuba,"2,013",Tallahassee,13,"72,820"
Florida,CY 2012,"2,900",Dem. Rep. Congo,31,Tampa,13,"66,292"
Florida,CY 2016,"3,270",Eritrea,120,Orlando,13,"96,874"
Florida,CY 2011,"2,342",Eritrea,80,Tampa,13,"51,458"
Florida,CY 2010,"4,384",Iran,24,Jacksonville,13,"71,362"
Florida,CY 2016,"3,270",Iraq,258,Kissimmee,13,"96,874"
Florida,CY 2014,"3,465",Somalia,80,Tallahassee,13,"72,820"
Florida,CY 2016,"3,270",Sudan,62,Clearwater,13,"96,874"
Georgia,CY 2016,"3,473",Bhutan,284,Stone Mountain,13,"96,874"
Georgia,CY 2016,"3,473",Burma,605,Tucker,13,"96,874"
Georgia,CY 2012,"2,791",Central African Republic,13,Atlanta,13,"66,292"
Georgia,CY 2013,"2,497",Congo,13,Atlanta,13,"66,066"
Georgia,CY 2014,"2,796",Eritrea,70,Clarkston,13,"72,820"
Georgia,CY 2013,"2,497",Sri Lanka (Ceylon),13,Atlanta,13,"66,066"
Georgia,CY 2014,"2,796",Sudan,38,Stone Mountain,13,"72,820"
Georgia,CY 2016,"3,473",Ukraine,34,Atlanta,13,"96,874"
Idaho,CY 2013,913,Afghanistan,29,Twin Falls,13,"66,066"
Idaho,CY 2012,788,Congo,13,Boise,13,"66,292"
Illinois,CY 2016,"3,493",Afghanistan,123,Aurora,13,"96,874"
Illinois,CY 2016,"3,493",Burma,674,East Moline,13,"96,874"
Illinois,CY 2012,"2,515",Burma,704,Northbrook,13,"66,292"
Illinois,CY 2015,"2,439",Burundi,30,Aurora,13,"66,517"
Illinois,CY 2010,"2,371",Dem. Rep. Congo,90,Rock Island,13,"71,362"
Illinois,CY 2015,"2,439",Ethiopia,14,Chicago,13,"66,517"
Illinois,CY 2011,"1,715",Iraq,403,Aurora,13,"51,458"
Illinois,CY 2014,"2,749",Iraq,"1,056",Morton Grove,13,"72,820"
Illinois,CY 2013,"2,185",Iraq,"1,024",Schaumburg,13,"66,066"
Illinois,CY 2010,"2,371",Iraq,"1,096",West Chicago,13,"71,362"
Illinois,CY 2012,"2,515",Somalia,117,Rockford,13,"66,292"
Illinois,CY 2011,"1,715",Sudan,13,Chicago,13,"51,458"
Illinois,CY 2016,"3,493",Sudan,78,Glendale Heights,13,"96,874"
Indiana,CY 2010,"1,301",Ethiopia,13,Indianapolis,13,"71,362"
Iowa,CY 2014,693,Burma,396,Columbus Junction,13,"72,820"
Iowa,CY 2011,307,Iraq,19,Des Moines,13,"51,458"
Iowa,CY 2016,"1,087",Iraq,50,West Des Moines,13,"96,874"
Iowa,CY 2015,815,Sudan,30,West Des Moines,13,"66,517"
Kansas,CY 2016,"1,053",Iraq,35,Mission,13,"96,874"
Kansas,CY 2016,"1,053",Iraq,35,Wichita,13,"96,874"
Kansas,CY 2013,480,Sudan,13,Wichita,13,"66,066"
Kansas,CY 2014,635,Sudan,13,Wichita,13,"72,820"
Kentucky,CY 2012,"1,621",Burma,362,Lexington,13,"66,292"
